iter	Passed	Remaining
0	47	47717
1	49	24577
2	50	16748
3	51	12795
4	52	10417
5	53	8823
6	54	7684
7	55	6822
8	55	6145
9	56	5606
10	57	5158
11	57	4770
12	58	4447
13	59	4168
14	59	3927
15	60	3711
16	60	3511
17	61	3334
18	61	3175
19	61	3033
20	62	2904
21	62	2787
22	63	2680
23	63	2581
24	63	2487
25	64	2398
26	64	2316
27	64	2239
28	64	2168
29	65	2102
30	65	2040
31	65	1982
32	65	1928
33	66	1876
34	66	1828
35	66	1782
36	66	1738
37	67	1697
38	67	1658
39	67	1622
40	67	1586
41	68	1553
42	68	1520
43	68	1489
44	68	1459
45	69	1431
46	69	1403
47	69	1377
48	69	1352
49	69	1328
50	70	1305
51	70	1282
52	70	1261
53	70	1240
54	71	1220
55	71	1201
56	71	1182
57	71	1164
58	71	1147
59	72	1130
60	72	1114
61	72	1098
62	72	1083
63	73	1068
64	73	1053
65	73	1040
66	73	1026
67	73	1011
68	74	999
69	74	986
70	74	974
71	74	962
72	74	951
73	75	940
74	75	929
75	75	919
76	75	909
77	76	899
78	76	889
79	76	880
80	76	870
81	76	861
82	77	853
83	77	844
84	77	835
85	77	827
86	77	818
87	78	810
88	78	802
89	78	795
90	78	787
91	79	780
92	79	773
93	79	766
94	79	759
95	79	753
96	80	746
97	80	740
98	80	734
99	80	727
100	81	721
101	81	714
102	81	709
103	81	703
104	81	697
105	82	692
106	82	686
107	82	681
108	82	676
109	82	671
110	83	666
111	83	661
112	83	656
113	83	651
114	84	646
115	84	641
116	84	637
117	84	632
118	84	627
119	85	623
120	85	619
121	85	614
122	85	609
123	85	605
124	86	602
125	86	598
126	86	594
127	86	589
128	86	586
129	87	582
130	87	578
131	87	575
132	87	571
133	87	568
134	88	564
135	88	561
136	88	557
137	88	554
138	88	551
139	89	547
140	89	544
141	89	541
142	89	538
143	90	535
144	90	532
145	90	529
146	90	526
147	90	523
148	91	520
149	91	517
150	91	514
151	91	512
152	92	509
153	92	506
154	92	504
155	92	501
156	92	498
157	93	496
158	93	493
159	93	491
160	93	488
161	93	486
162	94	483
163	94	481
164	94	478
165	94	476
166	95	474
167	95	471
168	95	469
169	95	467
170	95	465
171	96	462
172	96	460
173	96	458
174	96	456
175	97	454
176	97	452
177	97	450
178	97	448
179	97	445
180	98	443
181	98	441
182	98	439
183	98	437
184	98	435
185	99	433
186	99	431
187	99	429
188	99	428
189	99	426
190	100	424
191	100	422
192	100	420
193	100	418
194	101	417
195	101	415
196	101	413
197	101	411
198	101	410
199	102	408
200	102	406
201	102	405
202	102	403
203	103	402
204	103	400
205	103	398
206	103	397
207	103	395
208	104	394
209	104	392
210	104	390
211	104	389
212	105	387
213	105	386
214	105	384
215	105	383
216	105	382
217	106	380
218	106	379
219	106	377
220	106	376
221	106	374
222	107	373
223	107	371
224	107	370
225	107	369
226	108	367
227	108	366
228	108	365
229	108	363
230	108	362
231	109	361
232	109	359
233	109	358
234	109	357
235	109	356
236	110	354
237	110	353
238	110	352
239	110	351
240	111	349
241	111	348
242	111	347
243	111	346
244	111	344
245	112	343
246	112	342
247	112	341
248	112	340
249	113	339
250	113	337
251	113	336
252	113	335
253	113	334
254	114	333
255	114	332
256	114	331
257	114	330
258	115	329
259	115	328
260	115	326
261	115	325
262	115	324
263	116	323
264	116	322
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	312
275	118	311
276	118	310
277	119	309
278	119	308
279	119	307
280	119	306
281	120	305
282	120	304
283	120	303
284	120	302
285	120	301
286	121	301
287	121	300
288	121	299
289	121	298
290	122	297
291	122	296
292	122	295
293	122	294
294	122	293
295	123	292
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	287
302	124	286
303	124	285
304	125	285
305	125	284
306	125	283
307	125	282
308	126	281
309	126	280
310	126	280
311	126	279
312	126	278
313	127	277
314	127	276
315	127	276
316	127	275
317	127	274
318	128	273
319	128	272
320	128	272
321	128	271
322	129	270
323	129	269
324	129	268
325	129	268
326	129	267
327	130	266
328	130	265
329	130	265
330	130	264
331	131	263
332	131	262
333	131	262
334	131	261
335	131	260
336	132	259
337	132	259
338	132	258
339	132	257
340	132	256
341	133	256
342	133	255
343	133	254
344	133	254
345	134	253
346	134	252
347	134	252
348	134	251
349	134	250
350	135	249
351	135	249
352	135	248
353	135	247
354	136	247
355	136	246
356	136	245
357	136	245
358	136	244
359	137	243
360	137	243
361	137	242
362	137	241
363	138	241
364	138	240
365	138	239
366	138	239
367	138	238
368	139	237
369	139	237
370	139	236
371	139	236
372	140	235
373	140	234
374	140	234
375	140	233
376	140	232
377	141	232
378	141	231
379	141	231
380	141	230
381	142	229
382	142	229
383	142	228
384	142	227
385	142	227
386	143	226
387	143	226
388	143	225
389	143	224
390	144	224
391	144	223
392	144	223
393	144	222
394	144	221
395	145	221
396	145	220
397	145	220
398	145	219
399	145	218
400	146	218
401	146	217
402	146	217
403	146	216
404	147	216
405	147	215
406	147	214
407	147	214
408	147	213
409	148	213
410	148	212
411	148	212
412	148	211
413	149	210
414	149	210
415	149	209
416	149	209
417	149	208
418	150	208
419	150	207
420	150	207
421	150	206
422	150	205
423	151	205
424	151	204
425	151	204
426	151	203
427	152	203
428	152	202
429	152	202
430	152	201
431	152	201
432	153	200
433	153	200
434	153	199
435	153	199
436	154	198
437	154	198
438	154	197
439	154	196
440	154	196
441	155	195
442	155	195
443	155	194
444	155	194
445	156	193
446	156	193
447	156	192
448	156	192
449	156	191
450	157	191
451	157	190
452	157	190
453	157	189
454	158	189
455	158	188
456	158	188
457	158	187
458	158	187
459	159	186
460	159	186
461	159	185
462	159	185
463	160	184
464	160	184
465	160	183
466	160	183
467	160	182
468	161	182
469	161	182
470	161	181
471	161	181
472	162	180
473	162	180
474	162	179
475	162	179
476	162	178
477	163	178
478	163	177
479	163	177
480	163	176
481	164	176
482	164	175
483	164	175
484	164	174
485	164	174
486	165	174
487	165	173
488	165	173
489	165	172
490	166	172
491	166	171
492	166	171
493	166	170
494	166	170
495	167	169
496	167	169
497	167	168
498	167	168
499	168	168
500	168	167
501	168	167
502	168	166
503	168	166
504	169	165
505	169	165
506	169	164
507	169	164
508	169	163
509	170	163
510	170	163
511	170	162
512	170	162
513	171	161
514	171	161
515	171	160
516	171	160
517	171	160
518	172	159
519	172	159
520	172	158
521	172	158
522	173	157
523	173	157
524	173	156
525	173	156
526	173	156
527	174	155
528	174	155
529	174	154
530	174	154
531	175	153
532	175	153
533	175	153
534	175	152
535	175	152
536	176	151
537	176	151
538	176	151
539	176	150
540	176	150
541	177	149
542	177	149
543	177	148
544	177	148
545	178	148
546	178	147
547	178	147
548	178	146
549	178	146
550	179	145
551	179	145
552	179	145
553	179	144
554	180	144
555	180	143
556	180	143
557	180	143
558	180	142
559	181	142
560	181	141
561	181	141
562	181	141
563	181	140
564	182	140
565	182	139
566	182	139
567	182	139
568	183	138
569	183	138
570	183	137
571	183	137
572	183	137
573	184	136
574	184	136
575	184	135
576	184	135
577	185	135
578	185	134
579	185	134
580	185	133
581	185	133
582	186	133
583	186	132
584	186	132
585	186	131
586	186	131
587	187	131
588	187	130
589	187	130
590	187	130
591	188	129
592	188	129
593	188	128
594	188	128
595	188	128
596	189	127
597	189	127
598	189	126
599	189	126
600	190	126
601	190	125
602	190	125
603	190	125
604	190	124
605	191	124
606	191	123
607	191	123
608	191	123
609	191	122
610	192	122
611	192	122
612	192	121
613	192	121
614	193	120
615	193	120
616	193	120
617	193	119
618	194	119
619	194	119
620	194	118
621	194	118
622	194	117
623	195	117
624	195	117
625	195	116
626	195	116
627	195	116
628	196	115
629	196	115
630	196	114
631	196	114
632	197	114
633	197	113
634	197	113
635	197	113
636	197	112
637	198	112
638	198	112
639	198	111
640	198	111
641	199	110
642	199	110
643	199	110
644	199	109
645	199	109
646	200	109
647	200	108
648	200	108
649	200	108
650	201	107
651	201	107
652	201	107
653	201	106
654	201	106
655	202	105
656	202	105
657	202	105
658	202	104
659	203	104
660	203	104
661	203	103
662	203	103
663	203	103
664	204	102
665	204	102
666	204	102
667	204	101
668	204	101
669	205	101
670	205	100
671	205	100
672	205	100
673	206	99
674	206	99
675	206	98
676	206	98
677	206	98
678	207	97
679	207	97
680	207	97
681	207	96
682	208	96
683	208	96
684	208	95
685	208	95
686	208	95
687	209	94
688	209	94
689	209	94
690	209	93
