iter	Passed	Remaining
0	46	46850
1	47	23555
2	47	15775
3	47	11877
4	47	9538
5	48	7982
6	48	6869
7	48	6033
8	48	5383
9	49	4863
10	49	4437
11	49	4082
12	49	3782
13	50	3524
14	50	3301
15	50	3105
16	50	2933
17	50	2779
18	51	2642
19	51	2518
20	51	2406
21	51	2305
22	52	2212
23	52	2126
24	52	2048
25	52	1976
26	52	1909
27	53	1847
28	53	1788
29	53	1734
30	53	1684
31	54	1637
32	54	1592
33	54	1551
34	54	1511
35	55	1474
36	55	1438
37	55	1405
38	55	1373
39	55	1343
40	56	1314
41	56	1286
42	56	1260
43	56	1235
44	57	1211
45	57	1188
46	57	1166
47	57	1145
48	57	1125
49	58	1105
50	58	1087
51	58	1069
52	58	1052
53	59	1035
54	59	1019
55	59	1004
56	59	989
57	60	975
58	60	961
59	60	947
60	60	934
61	60	922
62	61	909
63	61	898
64	61	886
65	61	875
66	62	864
67	62	854
68	62	843
69	62	834
70	63	825
71	63	815
72	63	806
73	63	797
74	63	788
75	64	780
76	64	772
77	64	763
78	64	756
79	65	748
80	65	740
81	65	733
82	65	725
83	65	718
84	66	711
85	66	704
86	66	698
87	66	691
88	67	685
89	67	679
90	67	673
91	67	667
92	67	662
93	68	656
94	68	650
95	68	645
96	68	640
97	69	635
98	69	630
99	69	625
100	69	620
101	69	615
102	70	610
103	70	605
104	70	601
105	70	596
106	70	592
107	71	588
108	71	583
109	71	579
110	71	575
111	72	571
112	72	569
113	73	567
114	73	563
115	73	560
116	73	556
117	73	553
118	74	549
119	74	546
120	74	542
121	74	538
122	75	535
123	75	531
124	75	528
125	75	525
126	75	521
127	76	518
128	76	515
129	76	512
130	76	509
131	77	506
132	77	504
133	77	501
134	77	498
135	77	495
136	78	492
137	78	489
138	78	487
139	78	484
140	79	481
141	79	478
142	79	476
143	79	473
144	79	471
145	80	468
146	80	466
147	80	463
148	80	461
149	81	459
150	81	456
151	81	454
152	81	452
153	82	450
154	82	448
155	82	446
156	82	444
157	82	441
158	83	439
159	83	437
160	83	435
161	83	433
162	83	431
163	84	429
164	84	427
165	84	425
166	84	423
167	85	421
168	85	419
169	85	417
170	85	415
171	85	413
172	86	412
173	86	410
174	86	408
175	86	406
176	87	405
177	87	403
178	87	401
179	87	399
180	87	398
181	89	400
182	89	398
183	89	396
184	89	394
185	89	393
186	90	391
187	90	390
188	90	388
189	90	387
190	91	385
191	91	384
192	91	382
193	91	381
194	92	379
195	92	378
196	92	377
